J.,Buchanan,Forbidden Planet and the Retrospective Attribution of Intentions,Retrovisions: Reinventing the Past in Film and Fiction,I. ,Whelan,2001,English,London,Pluto Press,148,162,,,,,2001,FALSE
Scott,Bukatman,,Terminal Identity,,,1993,English,"Durham, NC and London",Duke University Press,,,,,,,1993,TRUE
Greg,Burgas,Comics You Should Own: Pax Romana,Comic Book Resources,,,2011,English,,,,,,,,,2011,FALSE
Eli Edward,Burriss,The Classical Culture of Percy Bysshe Shelley,Classical Journal 21,,,1926,English,,,344,354,,,,,1926,FALSE
Brad J.,Bushman,Comfortably Numb: Desensitizing Effects of Violent Media on Helping Others,Psychological Science 20.3,,,2009,English,,,273,277,,,,,2009,FALSE
Craig A.,Anderson,Comfortably Numb: Desensitizing Effects of Violent Media on Helping Others,Psychological Science 20.3,,,2009,English,,,273,277,,,,,2009,FALSE
William,Butcher,,Verne’s Journey to the Center of the Self: Space and Time in the Voyages Extraordinaires,,,1991,English,New York,St. Martin’s Press,,,,,,,1991,TRUE
Andrew M.,Butler,Postmodernism and Science Fiction,The Cambridge Companion to Science Fiction,E. ,James,2003,English,"Cambridge, UK",Cambridge University Press,137,148,,,,,2003,FALSE
Andrew M.,Butler,Postmodernism and Science Fiction,The Cambridge Companion to Science Fiction,F.,Mendlesohn,2003,English,"Cambridge, UK",Cambridge University Press,137,148,,,,,2003,FALSE
Torsten,Caeners,Humanity’s Scarred Children: The Cylons’ Oedipal Dilemma in Battlestar Galactica,Extrapolation 49.3,,,2008,English,,,368,384,,,,,2008,FALSE
Claude,Calame,From the Civilisation of Prometheus to Genetic Engineering: The Role of Technology and the Uses of Metaphor,Arion 13.2,,,2005,English,,,25,57,,,,,2005,FALSE
Mary Baine,Campbell,Alternative Planet: Kepler’s Somnium (1634) and the New World,The Arts of 17th Century Science: Representations of the Natural World in European and North American Culture,C.,Jowitt,2002,English,"Aldershot, UK",Ashgate,232,249,,,,,2002,FALSE
Mary Baine,Campbell,Alternative Planet: Kepler’s Somnium (1634) and the New World,The Arts of 17th Century Science: Representations of the Natural World in European and North American Culture,D.,Watt,2002,English,"Aldershot, UK",Ashgate,232,249,,,,,2002,FALSE
Miguel A. G.,Campos,Shakespeare in Outer Space: Forbidden Planet as Adaptation of The Tempest,Sederi 9,,,1998,English,,,285,291,,,,,1998,FALSE
Robert H.,Canary,Science Fiction as Fictive History,Extrapolation 16.1,,,1974,English,,,81,95,,,,,1974,FALSE
S.,Caroti,"Science Fiction, Forbidden Planet, and Shakespeare’s the Tempest","Comparative Literature and Culture 6.1. Special thematic issue, Shakespeare on Film in Asia and Hollywood",C.,Ross,2004,English,,,,,,,,,2004,FALSE
Gray,Cavender,In Search of Community on Reality TV: America’s Most Wanted and Survivor,Understanding Reality Television,S.,Holmes,2004,English,London,Routledge,154,172,,,,,2004,FALSE
Gray,Cavender,In Search of Community on Reality TV: America’s Most Wanted and Survivor,Understanding Reality Television,D.,Jermyn,2004,English,London,Routledge,154,172,,,,,2004,FALSE
Christian,Chelebourg,Le Paradis des fossiles,Modernités de Jules Verne,J.,Bassiere,1988,French,Paris,Presses Universitaires de France,213,227,,,,,1988,FALSE
Raz,Chen-Morris,Shadows of Instruction: Optics and Classical Authorities in Kepler’s ‘Somnium’,Journal of the History of Ideas 66.2,,,2005,English,,,223,243,,,,,2005,FALSE
Gale E.,Christianson,Kepler’s Somnium: Science Fiction and the Renaissance Scientist,Science Fiction Studies 3.1,,,1976,English,,,79,90,,,,,1976,FALSE
D.,Cifuentes,"‘Blade Runner,’ or Theseus’ Struggle with the Minotaur",Pensamiento 54,,,1998,English,,,449,456,,,,,1998,FALSE
Robert,Cirasa,An Epic Impression: Suspense and Prophetic Conventions in the Classical Epics and Frank Herbert’s Dune,Classical and Modern Literature 4,,,1984,English,,,195,213,,,,,1984,FALSE
Arthur C.,Clarke,,Profiles of the Future: An Inquiry into the Limits of the Possible,,,1999,English,London,Gollancz,,,,,Millennium,,1999,TRUE
Jay,Clayton,"Concealed Circuits: Frankenstein’s Monster, the Medusa, and the Cyborg",Raritan 15.4,,,1996,English,,,53,69,,,,,1996,FALSE
Jay,Clayton,Frankenstein’s Futurity,The Cambridge Companion to Mary Shelley,E. ,Schor,2006,English,"Cambridge, UK",Cambridge University Press,84,99,,,,,2006,TRUE
John,Clute,,The Encyclopedia of Science Fiction,,,1993,English,New York,St. Martin's Press,,,,,Second,,1993,TRUE
Peter,Nicholls,,The Encyclopedia of Science Fiction,,,1993,English,New York,St. Martin's Press,,,,,Second,,1993,TRUE
John,Clute,,Pardon This Intrusion: Fantastika in the World Storm,,,2011,English,"Harold Wood, UK",Beccon,,,,,,,2011,TRUE
John,Clute,Lucian,The Encyclopedia of Science Fiction,J. ,Clute,2012,English,,,,,,,Third,,2012,TRUE
John,Clute,Lucian,The Encyclopedia of Science Fiction,D. ,Langford,2012,English,,,,,,,Third,,2012,TRUE
John,Clute,Lucian,The Encyclopedia of Science Fiction,G.,Sleight,2012,English,,,,,,,Third,,2012,TRUE
John,Clute,Lucian,The Encyclopedia of Science Fiction,P.,Nicholls,2012,English,,,,,,,Third,,2012,TRUE
Jeffrey,Cohen,,Monster Theory: Reading Culture,,,1997,English,Minneapolis,University of Minnesota Press,,,,,,,1997,TRUE
Daniel,Compère,,Un Voyage imaginaire de Jules Verne: Voyage au centre de la Terre,,,1977,French,Paris,Minard,,,,,,,1977,TRUE
James A.,Connor,,"Kepler’s Witch: An Astronomer’s Discovery of Cosmic Order Amid Religious War, Political Intrigue, and the Heresy Trial of His Mother",,,2005,English,New York,Harper Collins,,,,,,,2005,TRUE
Fiona,Cox,,Sibylline Sisters: Virgil’s Presence in Contemporary Women’s Writing,,,2011,English,"Oxford, UK",Oxford University Press,,,,,,,2011,TRUE
Robert,Crossley,The Grandeur of H. G. Wells,A Companion to Science Fiction,D. ,Seed,2005,English,"Oxford, UK",Blackwell Publishing,353,363,,,,,2005,FALSE
Monica,Cyrino,,Big Screen Rome,,,2005,English,"Malden, MA",Blackwell  ,,,,,,,2005,TRUE
Monica,Cyrino,Ancient Sexuality on Screen,A Companion to Greek and Roman Sexualities,T.K.,Hubbard,2014,English,"Chichester, UK",John Wiley & Sons,613,628,,,,,2014,FALSE
Gregson,Davis,Reframing the Homeric: Images of the Odyssey in the Art of Derek Walcott and Romare Bearden,A Companion to Classical Receptions,L.,Hardwick,2008,English,"Malden, MA",Blackwell  ,401,414,,,,,2008,TRUE
Gregson,Davis,Reframing the Homeric: Images of the Odyssey in the Art of Derek Walcott and Romare Bearden,A Companion to Classical Receptions,C.,Stray,2008,English,"Malden, MA",Blackwell  ,401,414,,,,,2008,TRUE
Gowan,Dawson,"Intrinsic Earthliness: Science, Materialism, and the Fleshly School of Poetry",Victorian Poetry 41,,,2003,English,,,113,130,,,,,2003,FALSE
Kirsten,Day,Introduction,Celluloid Classics: New Perspectives on Classical Antiquity in Modern Cinema,Kirsten,Day,2008,English,,,,,,,,,2008,FALSE
Augie,"De Blieck, Jr.",The Commentary Track: ‘Pax Romana’ #1 w/Jonathan Hickman,Comic Book Resources,,,2008,English,,,,,,,,,2008,FALSE
